[  431.668555] CPUID(0x4FFFFFFE), exit number: 1, exits= 37627
[  431.669407] CPUID(0x4FFFFFFE), exit number: 1, exits= 37627
[ 7868.433723] CPUID(0x4FFFFFFE), exit number: 0, exits= 8077
[ 7868.434406] CPUID(0x4FFFFFFE), exit number: 0, exits= 8077
[ 7871.580140] CPUID(0x4FFFFFFE), exit number: 1, exits= 61117
[ 7871.580741] CPUID(0x4FFFFFFE), exit number: 1, exits= 61117
[ 7876.821960] CPUID(0x4FFFFFFE), exit number: 2, exits= 0
[ 7876.822242] CPUID(0x4FFFFFFE), exit number: 2, exits= 0
[ 7885.777025] CPUID(0x4FFFFFFE), exit number: 7, exits= 17172
[ 7885.778104] CPUID(0x4FFFFFFE), exit number: 7, exits= 17173
[ 7887.623148] CPUID(0x4FFFFFFE), exit number: 8, exits= 0
[ 7887.624088] CPUID(0x4FFFFFFE), exit number: 8, exits= 0
[ 7889.736686] CPUID(0x4FFFFFFE), exit number: 9, exits= 0
[ 7889.736932] CPUID(0x4FFFFFFE), exit number: 9, exits= 0
[ 7891.716796] CPUID(0x4FFFFFFE), exit number: 10, exits= 142584
[ 7891.717031] CPUID(0x4FFFFFFE), exit number: 10, exits= 142585
[ 7895.497473] CPUID(0x4FFFFFFE), exit number: 12, exits= 218407
[ 7895.497721] CPUID(0x4FFFFFFE), exit number: 12, exits= 218409
[ 7897.003723] CPUID(0x4FFFFFFE), exit number: 13, exits= 0
[ 7897.004213] CPUID(0x4FFFFFFE), exit number: 13, exits= 0
[ 7898.645946] CPUID(0x4FFFFFFE), exit number: 14, exits= 0
[ 7898.646207] CPUID(0x4FFFFFFE), exit number: 14, exits= 0
[ 7900.829929] CPUID(0x4FFFFFFE), exit number: 15, exits= 0
[ 7900.830871] CPUID(0x4FFFFFFE), exit number: 15, exits= 0
[ 7906.096608] CPUID(0x4FFFFFFE), exit number: 18, exits= 0
[ 7906.096923] CPUID(0x4FFFFFFE), exit number: 18, exits= 0
[ 7907.803306] CPUID(0x4FFFFFFE), exit number: 1, exits= 61745
[ 7907.804242] CPUID(0x4FFFFFFE), exit number: 1, exits= 61747
[ 7910.368453] CPUID(0x4FFFFFFE), exit number: 19, exits= 0
[ 7910.368754] CPUID(0x4FFFFFFE), exit number: 19, exits= 0
[ 7912.753131] CPUID(0x4FFFFFFE), exit number: 20, exits= 0
[ 7912.754062] CPUID(0x4FFFFFFE), exit number: 20, exits= 0
[ 7914.238586] CPUID(0x4FFFFFFE), exit number: 21, exits= 0
[ 7914.239481] CPUID(0x4FFFFFFE), exit number: 21, exits= 0
[ 7915.746025] CPUID(0x4FFFFFFE), exit number: 22, exits= 0
[ 7915.746420] CPUID(0x4FFFFFFE), exit number: 22, exits= 0
[ 7917.231671] CPUID(0x4FFFFFFE), exit number: 23, exits= 0
[ 7917.232968] CPUID(0x4FFFFFFE), exit number: 23, exits= 0
[ 7919.031827] CPUID(0x4FFFFFFE), exit number: 24, exits= 0
[ 7919.032313] CPUID(0x4FFFFFFE), exit number: 24, exits= 0
[ 7920.763675] CPUID(0x4FFFFFFE), exit number: 25, exits= 0
[ 7920.763896] CPUID(0x4FFFFFFE), exit number: 25, exits= 0
[ 7922.743559] CPUID(0x4FFFFFFE), exit number: 26, exits= 0
[ 7922.743818] CPUID(0x4FFFFFFE), exit number: 26, exits= 0
[ 7924.543868] CPUID(0x4FFFFFFE), exit number: 27, exits= 0
[ 7924.544197] CPUID(0x4FFFFFFE), exit number: 27, exits= 0
[ 7927.534850] CPUID(0x4FFFFFFE), exit number: 28, exits= 17925
[ 7927.535323] CPUID(0x4FFFFFFE), exit number: 28, exits= 17925
[ 7929.380791] CPUID(0x4FFFFFFE), exit number: 29, exits= 2
[ 7929.381010] CPUID(0x4FFFFFFE), exit number: 29, exits= 2
[ 7931.587642] CPUID(0x4FFFFFFE), exit number: 30, exits= 811761
[ 7931.588031] CPUID(0x4FFFFFFE), exit number: 30, exits= 811761
[ 7933.047473] CPUID(0x4FFFFFFE), exit number: 31, exits= 15735
[ 7933.047690] CPUID(0x4FFFFFFE), exit number: 31, exits= 15735
[ 7934.329839] CPUID(0x4FFFFFFE), exit number: 32, exits= 644685
[ 7934.330208] CPUID(0x4FFFFFFE), exit number: 32, exits= 644692
[ 7942.343383] CPUID(0x4FFFFFFE), exit number: 36, exits= 0
[ 7942.343729] CPUID(0x4FFFFFFE), exit number: 36, exits= 0
[ 7944.388937] CPUID(0x4FFFFFFE), exit number: 37, exits= 0
[ 7944.389266] CPUID(0x4FFFFFFE), exit number: 37, exits= 0
[ 7948.640286] CPUID(0x4FFFFFFE), exit number: 39, exits= 0
[ 7948.640571] CPUID(0x4FFFFFFE), exit number: 39, exits= 0
[ 7951.680098] CPUID(0x4FFFFFFE), exit number: 40, exits= 25924
[ 7951.680595] CPUID(0x4FFFFFFE), exit number: 40, exits= 25924
[ 7953.725766] CPUID(0x4FFFFFFE), exit number: 41, exits= 0
[ 7953.726200] CPUID(0x4FFFFFFE), exit number: 41, exits= 0
[ 7956.852297] CPUID(0x4FFFFFFE), exit number: 43, exits= 0
[ 7956.852544] CPUID(0x4FFFFFFE), exit number: 43, exits= 0
[ 7959.326219] CPUID(0x4FFFFFFE), exit number: 44, exits= 0
[ 7959.326560] CPUID(0x4FFFFFFE), exit number: 44, exits= 0
[ 7961.240272] CPUID(0x4FFFFFFE), exit number: 45, exits= 0
[ 7961.240777] CPUID(0x4FFFFFFE), exit number: 45, exits= 0
[ 7963.332855] CPUID(0x4FFFFFFE), exit number: 46, exits= 6
[ 7963.333347] CPUID(0x4FFFFFFE), exit number: 46, exits= 6
[ 7965.221744] CPUID(0x4FFFFFFE), exit number: 47, exits= 2
[ 7965.222045] CPUID(0x4FFFFFFE), exit number: 47, exits= 2
[ 7967.089078] CPUID(0x4FFFFFFE), exit number: 48, exits= 265533
[ 7967.089401] CPUID(0x4FFFFFFE), exit number: 48, exits= 265533
[ 7969.000804] CPUID(0x4FFFFFFE), exit number: 49, exits= 60639
[ 7969.002121] CPUID(0x4FFFFFFE), exit number: 49, exits= 60639
[ 7971.634243] CPUID(0x4FFFFFFE), exit number: 50, exits= 0
[ 7971.634473] CPUID(0x4FFFFFFE), exit number: 50, exits= 0
[ 7976.583039] CPUID(0x4FFFFFFE), exit number: 52, exits= 0
[ 7976.583763] CPUID(0x4FFFFFFE), exit number: 52, exits= 0
[ 7978.069708] CPUID(0x4FFFFFFE), exit number: 53, exits= 0
[ 7978.070197] CPUID(0x4FFFFFFE), exit number: 53, exits= 0
[ 7979.553640] CPUID(0x4FFFFFFE), exit number: 54, exits= 3
[ 7979.553975] CPUID(0x4FFFFFFE), exit number: 54, exits= 3
[ 7981.038083] CPUID(0x4FFFFFFE), exit number: 55, exits= 3
[ 7981.038331] CPUID(0x4FFFFFFE), exit number: 55, exits= 3
[ 7983.445831] CPUID(0x4FFFFFFE), exit number: 56, exits= 0
[ 7983.446062] CPUID(0x4FFFFFFE), exit number: 56, exits= 0
[ 7985.043146] CPUID(0x4FFFFFFE), exit number: 57, exits= 0
[ 7985.044476] CPUID(0x4FFFFFFE), exit number: 57, exits= 0
[ 7987.181978] CPUID(0x4FFFFFFE), exit number: 58, exits= 0
[ 7987.182776] CPUID(0x4FFFFFFE), exit number: 58, exits= 0
[ 7988.823410] CPUID(0x4FFFFFFE), exit number: 59, exits= 0
[ 7988.823953] CPUID(0x4FFFFFFE), exit number: 59, exits= 0
[ 7991.770626] CPUID(0x4FFFFFFE), exit number: 60, exits= 0
[ 7991.771044] CPUID(0x4FFFFFFE), exit number: 60, exits= 0
[ 7993.144540] CPUID(0x4FFFFFFE), exit number: 61, exits= 0
[ 7993.145001] CPUID(0x4FFFFFFE), exit number: 61, exits= 0
[ 7994.405436] CPUID(0x4FFFFFFE), exit number: 62, exits= 0
[ 7994.405811] CPUID(0x4FFFFFFE), exit number: 62, exits= 0
[ 8003.789432] CPUID(0x4FFFFFFE), exit number: 67, exits= 0
[ 8003.789905] CPUID(0x4FFFFFFE), exit number: 67, exits= 0
[ 8005.472594] CPUID(0x4FFFFFFE), exit number: 68, exits= 0
[ 8005.472809] CPUID(0x4FFFFFFE), exit number: 68, exits= 0
