[ 8243.088610] CPUID(0x4FFFFFFE), exit number: 1, exits= 65833
[ 8243.089626] CPUID(0x4FFFFFFE), exit number: 1, exits= 65834
[ 8258.094666] CPUID(0x4FFFFFFE), exit number: 0, exits= 8087
[ 8258.094924] CPUID(0x4FFFFFFE), exit number: 0, exits= 8087
[10330.739756] CPUID(0x4FFFFFFE), exit number: 0, exits= 1443965
[10330.741325] CPUID(0x4FFFFFFE), exit number: 0, exits= 1443969
[10334.251261] CPUID(0x4FFFFFFE), exit number: 1, exits= 180631
[10334.252487] CPUID(0x4FFFFFFE), exit number: 1, exits= 180631
[10336.118191] CPUID(0x4FFFFFFE), exit number: 2, exits= 0
[10336.119004] CPUID(0x4FFFFFFE), exit number: 2, exits= 0
[10356.714326] CPUID(0x4FFFFFFE), exit number: 7, exits= 63961
[10356.716290] CPUID(0x4FFFFFFE), exit number: 7, exits= 63964
[10358.564919] CPUID(0x4FFFFFFE), exit number: 8, exits= 0
[10358.566148] CPUID(0x4FFFFFFE), exit number: 8, exits= 0
[10360.316248] CPUID(0x4FFFFFFE), exit number: 9, exits= 0
[10360.317630] CPUID(0x4FFFFFFE), exit number: 9, exits= 0
[10362.074870] CPUID(0x4FFFFFFE), exit number: 10, exits= 283654
[10362.077880] CPUID(0x4FFFFFFE), exit number: 10, exits= 283655
[10364.768658] CPUID(0x4FFFFFFE), exit number: 12, exits= 276698
[10364.771310] CPUID(0x4FFFFFFE), exit number: 12, exits= 276700
[10366.043882] CPUID(0x4FFFFFFE), exit number: 13, exits= 0
[10366.048813] CPUID(0x4FFFFFFE), exit number: 13, exits= 0
[10367.853541] CPUID(0x4FFFFFFE), exit number: 14, exits= 198296
[10367.860884] CPUID(0x4FFFFFFE), exit number: 14, exits= 198306
[10369.600713] CPUID(0x4FFFFFFE), exit number: 15, exits= 0
[10369.606321] CPUID(0x4FFFFFFE), exit number: 15, exits= 0
[10374.552095] CPUID(0x4FFFFFFE), exit number: 18, exits= 0
[10374.553262] CPUID(0x4FFFFFFE), exit number: 18, exits= 0
[10376.127168] CPUID(0x4FFFFFFE), exit number: 19, exits= 0
[10376.128512] CPUID(0x4FFFFFFE), exit number: 19, exits= 0
[10378.237768] CPUID(0x4FFFFFFE), exit number: 20, exits= 0
[10378.238427] CPUID(0x4FFFFFFE), exit number: 20, exits= 0
[10380.240485] CPUID(0x4FFFFFFE), exit number: 21, exits= 0
[10380.244362] CPUID(0x4FFFFFFE), exit number: 21, exits= 0
[10381.614125] CPUID(0x4FFFFFFE), exit number: 22, exits= 0
[10381.614694] CPUID(0x4FFFFFFE), exit number: 22, exits= 0
[10383.569550] CPUID(0x4FFFFFFE), exit number: 23, exits= 0
[10383.570218] CPUID(0x4FFFFFFE), exit number: 23, exits= 0
[10385.423830] CPUID(0x4FFFFFFE), exit number: 24, exits= 0
[10385.429012] CPUID(0x4FFFFFFE), exit number: 24, exits= 0
[10387.147560] CPUID(0x4FFFFFFE), exit number: 25, exits= 0
[10387.152676] CPUID(0x4FFFFFFE), exit number: 25, exits= 0
[10388.730231] CPUID(0x4FFFFFFE), exit number: 26, exits= 0
[10388.731219] CPUID(0x4FFFFFFE), exit number: 26, exits= 0
[10390.529980] CPUID(0x4FFFFFFE), exit number: 27, exits= 0
[10390.532708] CPUID(0x4FFFFFFE), exit number: 27, exits= 0
[10392.726371] CPUID(0x4FFFFFFE), exit number: 28, exits= 9323023
[10392.728736] CPUID(0x4FFFFFFE), exit number: 28, exits= 9323188
[10394.323727] CPUID(0x4FFFFFFE), exit number: 29, exits= 4
[10394.326158] CPUID(0x4FFFFFFE), exit number: 29, exits= 4
[10400.263184] CPUID(0x4FFFFFFE), exit number: 30, exits= 1089491
[10400.265836] CPUID(0x4FFFFFFE), exit number: 30, exits= 1089491
[10401.549714] CPUID(0x4FFFFFFE), exit number: 31, exits= 17793
[10401.555480] CPUID(0x4FFFFFFE), exit number: 31, exits= 17793
[10402.699224] CPUID(0x4FFFFFFE), exit number: 32, exits= 909314
[10402.700694] CPUID(0x4FFFFFFE), exit number: 32, exits= 909318
[10409.717661] CPUID(0x4FFFFFFE), exit number: 36, exits= 0
[10409.726007] CPUID(0x4FFFFFFE), exit number: 36, exits= 0
[10411.445573] CPUID(0x4FFFFFFE), exit number: 37, exits= 0
[10411.447018] CPUID(0x4FFFFFFE), exit number: 37, exits= 0
[10415.541886] CPUID(0x4FFFFFFE), exit number: 39, exits= 0
[10415.542574] CPUID(0x4FFFFFFE), exit number: 39, exits= 0
[10417.976902] CPUID(0x4FFFFFFE), exit number: 40, exits= 44827
[10417.978182] CPUID(0x4FFFFFFE), exit number: 40, exits= 44827
[10419.681382] CPUID(0x4FFFFFFE), exit number: 41, exits= 0
[10419.683669] CPUID(0x4FFFFFFE), exit number: 41, exits= 0
[10423.258950] CPUID(0x4FFFFFFE), exit number: 43, exits= 0
[10423.262183] CPUID(0x4FFFFFFE), exit number: 43, exits= 0
[10424.750791] CPUID(0x4FFFFFFE), exit number: 44, exits= 0
[10424.752006] CPUID(0x4FFFFFFE), exit number: 44, exits= 0
[10426.232603] CPUID(0x4FFFFFFE), exit number: 45, exits= 0
[10426.233284] CPUID(0x4FFFFFFE), exit number: 45, exits= 0
[10427.720829] CPUID(0x4FFFFFFE), exit number: 46, exits= 12
[10427.724882] CPUID(0x4FFFFFFE), exit number: 46, exits= 12
